作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
ISBNから,2021-08-19 00:55:15,非会員,,,,dq43,明日の記憶,荻原 浩,,,詳細を見る,
ISBNから,2021-08-19 02:22:34,非会員,,,,dq54,思考の整理学,外山 滋比古,,,詳細を見る,
ISBNから,2021-08-19 03:58:57,非会員,,,,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,,詳細を見る,
ISBNから,2021-08-19 04:18:12,非会員,,,,dq50,トロッコ,芥川 龍之介,,,詳細を見る,
ISBNから,2021-08-19 07:51:55,非会員,,,,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,,詳細を見る,
ISBNから,2021-08-19 14:46:10,非会員,,,,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,,詳細を見る,
ISBNから,2021-08-19 16:47:01,suzue01811,9,神奈川県,藤沢市,dq61,エルマーのぼうけん,ガネット ルース,,,詳細を見る,
